Window,Prophet_Accuracy,Prophet_F1,LSTM_Accuracy,LSTM_F1,Better_Model
1h,0.7798165137614679,0.8628571428571429,0.834920634920635,0.8907563025210085,LSTM
3h,0.764525993883792,0.8478260869565217,0.7698412698412699,0.8481675392670157,LSTM
8h,0.7232415902140673,0.8004410143329658,0.7428571428571429,0.8442307692307692,LSTM
24h,0.6452599388379205,0.7472766884531591,0.7095238095238096,0.8079748163693599,LSTM
